Should write to:  0x18500108
Frank Zappa  -  What's New In Baltimore?
The Skullsnaps  -  It's A New Day
Living Colour  -  Postman
The Peter Malick Group feat. N  -  New York City
Aaron Neville  -  Hercules
Faith No More  -  Falling to Pieces
Excision  -  Existence
Aerosmith  -  I'm Ready
Incredible Bongo Band  -  Apache
Primus  -  Bob
Cake  -  Wheels
Pantera  -  War Nerve
Tool  -  Hush
Red Hot Chili Peppers  -  Breaking the Girl
Tower of Power  -  Knock Yourself Out
Alice in Chains  -  Rain When I Die
Charles Mingus  -  Goodbye Pork Pie Hat
A Perfect Circle  -  Passive
311  -  Visit
Faith No More  -  Everything's Ruined
Ice Cube  -  Ghetto Bird
Dog Fashion Disco  -  9 To 5 at the Morgue
James McMurtry  -  Choctaw Bingo
Faith No More & Boo-Yaa T.R.I.  -  Another Body Murdered
Primus  -  Frizzle Fry
Al Wilson  -  The Snake
Disturbed  -  Remember
Public Enemy  -  Show Em Whatcha Got
Ratt  -  Round and Round
Chevelle  -  Jars
Cypress Hill  -  Killa Hill Niggas
Tool  -  Sober
Faith No More  -  Star A.D.
Primus  -  Laquer Head
Mystikal  -  Tarantula
Deftones  -  MX
Colonel Claypool's Bucket of B  -  Hip Shot from the Slab
Primus  -  Jerry Was a Race Car Driver
Snoop Dogg  -  The Next Episode
A Tribe Called Quest  -  Crew
Beastie Boys  -  High Plains Drifter
Pearl Jam  -  Garden
Mr. Bungle  -  Retrovertigo
Audioslave  -  Like A Stone
Korn  -  Blind
Norah Jones  -  Shoot the Moon
Primus  -  Making Plans for Nigel
Tower of Power  -  I Like Your Style
Billie Holiday  -  Autumn in New York
Disturbed  -  Intoxication
Porcupine Tree  -  Anesthetize
Esperanza Spalding  -  Loro
Faith No More  -  The Perfect Crime
Cypress Hill  -  Pigs
Tool  -  10,000 Days (Wings Pt 2)
Bassnectar  -  Do It Like This
Peeping Tom  -  Mojo (featuring Rahzel & Dan t
Red Hot Chili Peppers  -  My Friends
Galactic  -  Moog Marmalade
Primus  -  Hats Off
The Jimi Hendrix Experience  -  Little Wing
Wu-Tang Clan & Method Man  -  Bring the Pain
A Perfect Circle  -  The Noose
The Lonely Island  -  I'm on a Boat (feat. T-Pain)
John Coltrane  -  Cousin Mary
Les Claypool's Duo De Twang  -  Stayin Alive
Pantera  -  Walk
Charlie Hunter  -  Let's Get Medieval
Frank Zappa  -  Moggio
Faith No More  -  Helpless
Tool  -  Hooker with a Penis
William DeVaughn  -  Be Thankful for What You Got
Fishbone  -  Behavior Control Technician
Primus  -  John The Fisherman
Cypress Hill  -  Boom Biddy Bye Bye
AC/DC  -  You Shook Me All Night Long
Radiohead  -  Creep
Allen Toussaint  -  Soul Sister
Alice in Chains  -  Down in a Hole
Chevelle  -  Send the Pain Below
Steve Vai  -  Whispering a Prayer
Deftones  -  Diamond Eyes
Primus  -  Tragedy's a Comin'
Faith No More  -  Malpractice
Sly and the Family Stone  -  I Want To Take You Higher
Georgie Fame  -  Big Brother
Beastie Boys  -  Sneakin' out the Hospital
Tool  -  Parabola
Faith No More  -  Mouth to Mouth
Little Village  -  Inside Job
Ice Cube  -  Dr. Frankenstein
Primus  -  The Ol Diamondback Sturgeon
Attention Deficit  -  Wrong
Cake  -  Short Skirt Long Jacket
Talking Heads  -  Burning Down the House
Public Enemy  -  By the Time I Get to Arizona
Prince  -  Starfish and Coffee
Kiss  -  Shandi
Cypress Hill  -  A to the K
Nashville Cast  -  When the Right One Comes Along
Cal Tjader  -  Roger e Samba
A Perfect Circle  -  Blue
Joshua Redman  -  Hide and Seek
Pantera  -  5 Minutes Alone
Primus  -  Eleven
Dog Fashion Disco  -  Antiquity's Small Rewards
Westside Connection  -  Call 9-1-1
Tower of Power  -  The Educated Bump Part I
Red Hot Chili Peppers  -  Scar Tissue
311  -  Applied Science
Van Halen  -  Little Dreamer
Faith No More  -  Cuckoo for Caca
Datsik  -  Against the Machines
Primus  -  Is It Luck?
Tool  -  Cold and Ugly
Machine Head  -  Desire to Fire
Primus  -  You Can't Kill Michael Malloy
A Tribe Called Quest  -  Butter
Sting  -  Desert Rose
Tool  -  Jimmy
Here Come the Mummies  -  Believe (in Things You Can Not
Yeah Yeah Yeahs  -  Gold Lion
Cypress Hill  -  Audio X (feat. Barron Ricks)
Frank Zappa  -  Eat That Question
Primus  -  Eyes of the Squirrel
System of a Down  -  Innervision
Waylon Jennings  -  I'm a Ramblin' Man
Rage Against the Machine  -  No Shelter
Faith No More  -  Surprise! You're Dead!
Beastie Boys  -  Hey Ladies
Disturbed  -  Hell
Primus  -  Puddin' Taine
Red Hot Chili Peppers  -  Suck My Kiss
Tool  -  Bottom
Cake  -  I Will Survive
The Police  -  Murder by Numbers
Primus  -  Grandad's Little Ditty
Faith No More  -  Caralho Voador
David Lee Roth  -  Big Trouble
311  -  Paradise
Mystikal  -  Pussy Crook
Eric B & Rakim  -  Lyrics of Fury
Galactic  -  Percussion Interlude
Cypress Hill  -  Funk Freakers
Deftones  -  Passenger
Les Claypool's Duo De Twang  -  Buzzards Of Green Hill
Primus  -  Nature Boy
Mattias IA Eklundh  -  The Satanic Moonwalk
Sarah Donner  -  The Motherfucking Pterodactyl
Buckethead  -  Sketches of Spain (for Miles)
Faith No More  -  Ashes to Ashes
Chevelle  -  Another Know It All
Gary Clark Jr.  -  Bright Lights
Boy Hits Car  -  Lovecore (Welcome To)
Billy Paul  -  Am I Black Enough For You
Beastie Boys  -  Stand Together
Pantera  -  The Sleep
The Jimmy Castor Bunch  -  Troglodyte (Cave Man)
Alice in Chains  -  Sickman
Charlie Parker  -  Night in Tunisia
The Beatles  -  Yesterday
Bobby Womack  -  Across 110th Street
Primus  -  Greet the Sacred Cow
Mr. Bungle  -  The Girls of Porn
Tool  -  The Pot
Ensemble Modern  -  Peaches En Regalia
Primus  -  The Family and the Fishing Net
Buddy Rich  -  Slow Funk
Audioslave  -  Hypnotize
Cypress Hill  -  Money
Public Enemy  -  Black Steel In The First World
Tower of Power  -  Dont Change Horses (In the Mid
Steel Panther  -  Community Property
Porcupine Tree  -  Bonnie the Cat
Faith No More  -  Kindergarten
South Park  -  America, Fuck Yeah
Red Hot Chili Peppers  -  Otherside
African Music Machine  -  Black Water Gold
A Perfect Circle  -  The Outsider
Master P  -  Kenny's Dead
Fishbone  -  Everyday Sunshine
Primus  -  The Last Super Power AKA Rapsc
Led Zeppelin  -  Ramble On
Frank Zappa  -  Outrage at Valdez
Beastie Boys  -  3 the Hard Way
Flight of the Conchords  -  Business Time
Disturbed  -  Rise
Da Lench Mob  -  Buck tha Devil
Tool  -  Pushit
A Tribe Called Quest  -  Award Tour
Faith No More  -  Zombie Eaters
Stevie Wonder  -  Superstition
Ice Cube  -  The Wrong Nigga to Fuck Wit
Jimi Hendrix Experience  -  All Along the Watchtower
Jedi Mind Tricks  -  On the Eve of War
Esperanza Spalding  -  Fall In
Primus  -  The Toys Go Winding Down
Gotan Project  -  Notas
Galactic  -  The Moil
Red Hot Chili Peppers  -  I Could Have Lied
Bassnectar  -  Kick It Complex
????? ? ????  -  Imin No Buta (Kari)
Colonel Claypool's Bucket of B  -  Scott Taylor
Meat Beat Manifesto  -  What's Your Name?
311  -  Unity
Mike Patton  -  Senza Fine
Ace Frehley  -  Ozone
Norah Jones  -  Turn Me On
Cake  -  Comfort Eagle
Incubus  -  Drive
Primus  -  Pilcher's Squad
Prince  -  P Control
Dido  -  Don't Think Of Me
Cypress Hill  -  High Times
2Pac  -  California Love
Chevelle  -  Forfeit
Primus  -  Del Davis Tree Farm
Alice in Chains  -  Junkhead
Christina Aguilera  -  Beautiful
Dog Fashion Disco  -  Leper Friend
Lil Jon & The East Side Boyz  -  Get Low
Faith No More  -  Ugly in the Morning
Tool  -  Ticks & Leeches
David Lee Roth  -  Bump and Grind
Charlie Hunter  -  Fly Like an Eagle
The Isley Brothers  -  Footsteps in the Dark, Pts. 1
Excision  -  Get to the Point
Zapp  -  More Bounce to the Ounce
Pantera  -  This Love
Willie Nelson  -  My Heroes Have Always Been Cow
John Coltrane  -  My Favorite Things
Massive Attack  -  Teardrop
Primus  -  Sinister Exaggerator
Deftones  -  Black Moon
Evanescence  -  Sweet Sacrifice
Mr. Bungle  -  Vanity Fair
Sound Experience  -  40 Acres And A Mule
NOFX  -  Drugs are Good
Beastie Boys  -  5-Piece Chicken Dinner
Cypress Hill  -  Locotes
Merle Haggard  -  Okie from Muskogee
Faith No More  -  She Loves Me Not
Tool  -  Rosetta Stoned
Red Hot Chili Peppers  -  Hump De Bump
Noisia  -  What They Want Is Filth!
Primus  -  Duchess and the Proverbial Min
Bloodhound Gang  -  Hell Yeah
Tower of Power  -  Oakland Stroke
Cake  -  No Phone
A Tribe Called Quest  -  Seperate/Together
Primus  -  Tommy the Cat
Galactic  -  Villified
311  -  Grassroots
The Robert Cray Band  -  Forecast (Calls for Pain)
Cypress Hill  -  Let It Rain
Primus  -  Hellbound 17 1/2 (Theme From)
Joshua Redman  -  Elenor Rigby
Armando Trovajoli  -  Blazing Magnum
Ice Cube  -  Wicked
Red Hot Chili Peppers  -  Catholic School Girls Rule
Frank Zappa  -  The Black Page #2
Faith No More  -  Be Aggressive
Rage Against the Machine  -  Township Rebellion
Sausage  -  Riddles are Abound Tonight
Van Halen  -  Poundcake
Primus  -  Pork Soda
Disturbed  -  Mistress
A Perfect Circle  -  Judith
Jeff Beck  -  Come Dancing
Tool  -  Jerk-Off
Mötley Crue  -  Home Sweet Home
Fishbone  -  Sunless Saturday
Faith No More  -  Digging the Grave
Guns N Roses  -  Mr. Brownstone
Beastie Boys  -  Sabotage
Pantera  -  No Good (Attack the Radical)
Cypress Hill  -  Clash of the Titans/Dust
Primus  -  Pudding Time
Deftones  -  Birthmark
A Tribe Called Quest  -  Verses from the Abstract
Red Hot Chili Peppers  -  Mellowship Slinky in B Major
Primus  -  HOINFODAMAN
Porcupine Tree  -  Way out of Here
Steve Vai  -  Sisters
Primus  -  Sathington Willoughby
Faith No More  -  Got That Feeling
Alice in Chains  -  Dirt
Primus  -  Dirty Drowning Man
Tool  -  Lateralis
Aerosmith  -  Dream On
Cal Tjader  -  Will You Still be Mine
Tower of Power  -  We Came to Play
Faith No More  -  A Small Victory
Primus  -  Sathington Waltz
Cypress Hill  -  Last Laugh
Frank Zappa  -  Theme from Bartok Piano Concer
Westside Connection  -  Gangsta Nation
A Perfect Circle  -  The Nurse Who Loved Me
Chevelle  -  Face to the Floor
Primus  -  De Anza Jig
Red Hot Chili Peppers  -  Californication
Faith No More  -  The Real Thing
Tool  -  Swamp Song
A Tribe Called Quest  -  Show Business
Ice Cube  -  Fuck Dying
Primus  -  Have a Cigar
Beastie Boys  -  Time to Build
Faith No More  -  Take This Bottle
Buckethead  -  I Come in Peace
Cake  -  Stickshifts And Safetybelts
Billie Holiday  -  He's Funny That Way
Pantera  -  Psycho Holiday
Cypress Hill  -  Everybody Must Get Stoned
Tool  -  Ænema
Primus  -  Spegetti Western
311  -  Nix Hex
Disturbed  -  Breathe
Faith No More  -  Crack Hitler
Tower of Power  -  Come on with It
Primus  -  Kalamazoo
Red Hot Chili Peppers  -  Taste the Pain
Cypress Hill  -  Lightning Strikes
Primus  -  The Pressman
Boy Hits Car  -  I'm a Cloud
Deftones  -  Kimdracula
Faith No More  -  Paths of Glory
Mystikal  -  Big Truck Driver
Primus  -  Those Damned Blue-Collar Tweek
Chevelle  -  Emotional Drought
Tool  -  Right In Two
A Tribe Called Quest  -  Vibes and Stuff
Cypress Hill  -  Once Again
Massive Attack  -  Protection
Primus  -  Silly Putty
Bassnectar  -  The Matrix
Frank Zappa  -  Sofa # 1
Tool  -  Third Eye
Faith No More  -  King for a Day
Alice in Chains  -  Angry Chair
Primus  -  Fish On (Fisherman Chronicles,
Pantera  -  Live in a Hole
Beastie Boys  -  Car Thief
Disturbed  -  Bound
Primus  -  Harold of the Rocks
A Perfect Circle  -  Pet
Red Hot Chili Peppers  -  Yertle the Turtle
Norah Jones  -  One Flight Down
Faith No More  -  What a day
Tool  -  Disposition
Primus  -  Mr. Krinkle
Primus  -  To Defy
Red Hot Chili Peppers  -  Apache Rose Peacock
Primus  -  Salmon Men
Frank Zappa  -  Sinister Footwear 2nd Movement
Chevelle  -  An Evening with el Diablo
Faith No More  -  Jizzlobber
Primus  -  The Chastising of Renegade
Tool  -  Undertow
Pantera  -  Regular People (Conceit)
Deftones  -  You've Seen the Butcher
Primus  -  Ballad of Bodacious
311  -  Offbeat Bare Ass
Red Hot Chili Peppers  -  Road Trippin'
Faith No More  -  Home Sick Home
Primus  -  Los Bastardos
Tool  -  Opiate
Faith No More  -  The Last to Know
Primus  -  Pork Chop's Little Ditty
Incubus  -  Vitamin
Alice in Chains  -  Would?
Buckethead  -  King James
A Perfect Circle  -  3 Libras
Primus  -  Coattails of a Dead Man
Faith No More  -  Pristina
Tool  -  Reflection
Pantera  -  By Demons Be Driven
Faith No More  -  Just a Man
Deftones  -  Change (In The House of Flies)
Pantera  -  Hollow
